Smiles,pH,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),CEC (cmol/kg),Total Nitrogen (%),Moisture content (%),log K(OC)
CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.82
CCCOC(=O)C1=CC=CC=C1C(=O)OCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.89
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.23
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.61
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.8
O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,4.93
O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,5.11
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,4.5
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,5.67
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,6.5
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,7.18
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,6.94
CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC,7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,7.41
